therapy_id,therapy_name,single_session_price,package_7_price,package_14_price,duration_minutes,materials_used
1,Abhyanga,700,4200,8400,60,Dhanwantaram Tailam / Kottamchukkadi Tailam
2,Shirodhara,1000,6000,10500,45,Ksheerabala Tailam / Brahmi Tailam
3,Vamana,1800,NULL,NULL,120,"Madanaphala Churnam, Yashtimadhu Kashayam"
4,Virechana,1500,NULL,NULL,90,"Trivrit Lehyam, Avipattikara Churnam"
5,Basti,1000,6000,10500,60,"Dashamoola Kashayam, Sesame Oil"
6,Nasya,500,3000,5250,30,Anu Tailam / Shadbindu Tailam
7,Kati Basti,800,4800,8400,45,"Dhanwantaram Tailam, Black Gram Flour"
8,Janu Basti,800,4800,8400,45,"Murivenna, Black Gram Flour"
9,Patra Pinda Sweda,900,5400,9450,60,"Nirgundi, Eranda, Coconut, Lemon"
